price,room_type,neighbourhood_cleansed,property_type,host_is_superhost,instant_bookable,accommodates,bathrooms,bedrooms,beds,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,availability_30,availability_60,availability_90,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,total_reviews_count,days_since_last_review,reviews_last_30_days,reviews_last_90_days,reviews_last_180_days,has_recent_reviews,review_activity_score,host_experience_years,amenities_count,distance_to_center,host_response_rate_num,host_acceptance_rate_num,days_since_first_review,review_density,price_per_person,price_per_bedroom,beds_per_person
128.0,Entire home/apt,Watergraafsmeer,Entire home,0,0,4,2.0,2.0,2.0,4,67,0.44,1,34,0,0,0,4.66,4.69,4.58,4.77,4.6,4.62,4.61,67.0,21.0,3.0,4.0,4.0,1,3.5,12.539356605065024,35,2.7271563773648935,1.0,0.73,4773.0,0.014037293107060549,32.0,64.0,0.5
276.0,Entire home/apt,IJburg - Zeeburgereiland,Entire home,0,0,6,2.0,4.0,4.0,3,29,0.21,1,306,10,24,54,4.86,4.93,4.57,4.83,4.93,4.76,4.72,29.0,389.0,0.0,0.0,0.0,0,0.0,12.621492128678987,28,8.524659952581636,0.0,0.0,4381.0,0.0066194932663775395,46.0,69.0,0.6666666666666666
355.0,Entire home/apt,De Pijp - Rivierenbuurt,Entire rental unit,0,0,4,1.5,2.0,3.0,5,36,0.24,1,253,0,0,0,5.0,4.91,4.86,5.0,5.0,4.94,4.86,36.0,439.0,0.0,0.0,0.0,0,0.0,13.22655715263518,22,1.3668648349416364,1.0,0.0,4743.0,0.007590132827324478,88.75,177.5,0.75
250.0,Entire home/apt,Westerpark,Entire rental unit,0,0,2,1.0,1.0,1.0,3,52,0.34,1,27,0,6,27,5.0,5.0,4.94,5.0,5.0,4.96,4.88,52.0,89.0,0.0,1.0,2.0,0,0.6666666666666666,12.465434633812457,52,3.4148884360252167,1.0,0.4,4773.0,0.010894615545778337,125.0,250.0,0.5
255.0,Entire home/apt,Centrum-West,Entire rental unit,0,0,2,1.0,1.0,1.0,4,44,0.29,1,52,0,10,40,4.93,4.95,4.86,5.0,4.95,4.98,4.86,44.0,67.0,0.0,1.0,2.0,0,0.6666666666666666,12.449007529089664,38,1.7823700355703256,1.0,0.7,4741.0,0.009280742459396751,127.5,255.0,0.5
200.0,Private room,Centrum-Oost,Private room in bed and breakfast,1,1,2,1.0,1.0,0.0,3,56,0.42,2,297,1,7,26,4.79,4.84,4.71,4.89,4.77,4.91,4.59,56.0,41.0,0.0,2.0,4.0,0,1.3333333333333333,12.88432580424367,21,0.8706370459038067,1.0,1.0,4223.0,0.013260715131423158,100.0,200.0,0.0
295.0,Entire home/apt,Watergraafsmeer,Entire home,0,0,4,1.0,3.0,3.0,3,19,0.13,1,1,1,1,1,4.84,4.79,4.79,4.95,5.0,4.84,4.79,19.0,31.0,0.0,2.0,3.0,0,1.1666666666666667,12.366872005475702,51,4.395463901213781,1.0,0.71,4643.0,0.004092181779022184,73.75,98.33333333333333,0.75
287.0,Entire home/apt,Bos en Lommer,Entire townhouse,0,0,2,1.0,1.0,0.0,2,18,0.16,1,89,29,59,89,4.89,5.0,4.83,4.82,4.94,4.71,4.59,18.0,1097.0,0.0,0.0,0.0,0,0.0,12.358658453114305,22,4.833078174414129,1.0,0.71,3688.0,0.004880694143167028,143.5,287.0,0.0
198.0,Entire home/apt,Centrum-Oost,Entire rental unit,0,0,2,1.5,1.0,1.0,2,99,0.66,1,152,7,32,62,4.73,4.83,4.58,4.93,4.95,4.63,4.52,99.0,115.0,0.0,0.0,1.0,0,0.16666666666666666,13.273100616016427,21,1.9012615161780744,1.0,0.11,4697.0,0.02107728337236534,99.0,198.0,0.5
284.0,Entire home/apt,De Baarsjes - Oud-West,Entire rental unit,0,0,4,1.0,1.0,2.0,3,30,0.21,1,15,3,10,10,4.87,4.87,4.73,4.97,4.9,4.83,4.67,30.0,46.0,0.0,3.0,3.0,0,1.5,12.334017796030116,35,3.6293951615110522,1.0,0.7,4600.0,0.006521739130434782,71.0,284.0,0.5
349.0,Entire home/apt,Oud-Oost,Entire rental unit,0,0,4,1.0,4.0,4.0,4,18,0.12,1,75,0,0,0,4.89,4.89,4.5,4.89,4.94,4.72,4.56,18.0,619.0,0.0,0.0,0.0,0,0.0,12.314852840520192,18,2.0821286385334297,1.0,0.4,4571.0,0.003937869175235178,87.25,87.25,1.0
429.0,Entire home/apt,Centrum-West,Entire rental unit,0,0,4,1.0,4.0,4.0,3,53,0.36,1,44,1,4,4,4.89,4.92,4.42,4.92,4.96,4.96,4.68,53.0,51.0,0.0,1.0,1.0,0,0.5,12.28747433264887,56,2.8430922546585995,1.0,0.6,4690.0,0.011300639658848614,107.25,107.25,1.0
256.0,Entire home/apt,Centrum-West,Boat,0,0,2,1.5,1.0,1.0,3,85,0.6,1,27,0,0,0,4.78,4.74,4.61,4.93,4.96,4.89,4.55,85.0,60.0,0.0,1.0,1.0,0,0.5,12.235455167693361,62,2.307464678754458,1.0,1.0,4498.0,0.01889728768341485,128.0,256.0,0.5
86.0,Private room,De Pijp - Rivierenbuurt,Private room in guesthouse,1,0,2,1.5,1.0,1.0,3,131,0.91,2,37,1,15,37,4.7,4.69,4.63,4.79,4.79,4.84,4.63,131.0,10.0,2.0,12.0,25.0,1,9.166666666666666,14.940451745379876,29,1.593203072367686,0.95,0.89,4557.0,0.028746982664033357,43.0,86.0,0.5
338.0,Entire home/apt,IJburg - Zeeburgereiland,Entire home,0,0,4,1.5,3.0,3.0,2,25,0.2,1,249,0,7,7,4.92,4.8,4.8,5.0,5.0,4.96,4.96,25.0,37.0,0.0,1.0,2.0,0,0.6666666666666666,12.180698151950718,30,11.706478952772327,1.0,0.5,3920.0,0.006377551020408163,84.5,112.66666666666667,0.75
248.0,Entire home/apt,Centrum-Oost,Entire condo,0,0,2,2.0,1.0,1.0,3,6,0.47,1,65,0,0,0,5.0,5.0,4.67,5.0,5.0,5.0,4.67,6.0,19.0,2.0,2.0,4.0,1,2.3333333333333335,12.145106091718,53,0.5397317216912703,1.0,0.89,610.0,0.009836065573770493,124.0,248.0,0.5
264.0,Entire home/apt,Oostelijk Havengebied - Indische Buurt,Entire rental unit,0,0,2,1.0,1.0,1.0,5,21,0.14,1,102,0,0,0,5.0,5.0,4.9,4.95,4.95,4.71,4.81,21.0,707.0,0.0,0.0,0.0,0,0.0,12.125941136208077,16,3.849228097294413,1.0,0.71,4631.0,0.004534657741308573,132.0,264.0,0.5
195.0,Entire home/apt,Oostelijk Havengebied - Indische Buurt,Entire rental unit,0,0,2,1.5,2.0,3.0,2,30,0.21,1,47,0,15,27,4.93,4.97,4.97,4.9,4.97,4.73,4.77,30.0,1887.0,0.0,0.0,0.0,0,0.0,12.10403832991102,39,4.4871741419294775,1.0,0.71,4496.0,0.0066725978647686835,97.5,97.5,1.5
